Day_of_Week,ED_Admit_Date,Admit_Count,is_actual_count
Saturday,8/23/2025,11,1
Sunday,8/24/2025,8,1
Monday,8/25/2025,21,1
Tuesday,8/26/2025,18,1
Wednesday,8/27/2025,18,1
Thursday,8/28/2025,12,1
Friday,8/29/2025,15,1
Saturday,8/30/2025,16,1
Sunday,8/31/2025,21,1
Monday,9/1/2025,14,1
Tuesday,9/2/2025,19,1
Wednesday,9/3/2025,17,1
Thursday,9/4/2025,25,1
Friday,9/5/2025,27,1
Saturday,9/6/2025,14,1
Sunday,9/7/2025,19,1
Monday,9/8/2025,21,1
Tuesday,9/9/2025,8,1
Wednesday,9/10/2025,27,1
Thursday,9/11/2025,15,1
Friday,9/12/2025,15,1
Saturday,9/13/2025,17,1
Sunday,9/14/2025,21,1
Monday,9/15/2025,22,1
Tuesday,9/16/2025,46,1
Wednesday,9/17/2025,18,1
Thursday,9/18/2025,19,1
Friday,9/19/2025,19,1
Saturday,9/20/2025,8,1
Sunday,9/21/2025,13,1
Monday,9/22/2025,24,1
Tuesday,9/23/2025,25,1
Wednesday,9/24/2025,12,1
Thursday,9/25/2025,25,1
Friday,9/26/2025,18,1
Saturday,9/27/2025,24,1
Sunday,9/28/2025,12,1
Monday,9/29/2025,25,1
Tuesday,9/30/2025,22,1
Wednesday,10/1/2025,19,1
Thursday,10/2/2025,33,1
Friday,10/3/2025,25,1
Saturday,10/4/2025,13,1
Sunday,10/5/2025,15,1
Monday,10/6/2025,29,1
Tuesday,10/7/2025,15,1
Wednesday,10/8/2025,25,1
Thursday,10/9/2025,23,1
Friday,10/10/2025,18,1
Saturday,10/11/2025,10,1
Sunday,10/12/2025,29,1
Monday,10/13/2025,21,1
Tuesday,10/14/2025,21,1
Wednesday,10/15/2025,13,1
Thursday,10/16/2025,18,1
Friday,10/17/2025,16,1
Saturday,10/18/2025,22,1
Sunday,10/19/2025,9,1
Monday,10/20/2025,26,1
Tuesday,10/21/2025,22,1
Wednesday,10/22/2025,24,1
