Day_of_Week,ED_Admit_Date,Admit_Count
Saturday,8/23/2025,11
Sunday,8/24/2025,8
Monday,8/25/2025,21
Tuesday,8/26/2025,18
Wednesday,8/27/2025,18
Thursday,8/28/2025,12
Friday,8/29/2025,15
Saturday,8/30/2025,16
Sunday,8/31/2025,21
Monday,9/1/2025,14
Tuesday,9/2/2025,19
Wednesday,9/3/2025,17
Thursday,9/4/2025,25
Friday,9/5/2025,27
Saturday,9/6/2025,14
Sunday,9/7/2025,19
Monday,9/8/2025,21
Tuesday,9/9/2025,8
Wednesday,9/10/2025,27
Thursday,9/11/2025,15
Friday,9/12/2025,15
Saturday,9/13/2025,17
Sunday,9/14/2025,21
Monday,9/15/2025,22
Tuesday,9/16/2025,46
Wednesday,9/17/2025,18
Thursday,9/18/2025,19
Friday,9/19/2025,19
Saturday,9/20/2025,8
Sunday,9/21/2025,13
Monday,9/22/2025,24
Tuesday,9/23/2025,25
Wednesday,9/24/2025,12
Thursday,9/25/2025,25
Friday,9/26/2025,18
Saturday,9/27/2025,24
Sunday,9/28/2025,12
Monday,9/29/2025,25
Tuesday,9/30/2025,22
Wednesday,10/1/2025,19
Thursday,10/2/2025,33
Friday,10/3/2025,25
Saturday,10/4/2025,13
Sunday,10/5/2025,15
Monday,10/6/2025,29
Tuesday,10/7/2025,15
Wednesday,10/8/2025,25
Thursday,10/9/2025,23
Friday,10/10/2025,18
Saturday,10/11/2025,10
Sunday,10/12/2025,29
Monday,10/13/2025,21
Tuesday,10/14/2025,21
Wednesday,10/15/2025,13
Thursday,10/16/2025,18
Friday,10/17/2025,16
Saturday,10/18/2025,22
Sunday,10/19/2025,9
Monday,10/20/2025,26
Tuesday,10/21/2025,22
Wednesday,10/22/2025,24
