ED_ADMIT_DATE,count,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Winter,Spring,Summer,Fall,is_holiday,day_before_holiday,day_after_holiday,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),roll14,roll30,lag7
2019-02-06,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,16.0,8.0,0.43,14.714285714285714,18.4,15.0
2019-02-07,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,10.0,-7.0,0.09,14.071428571428571,18.3,10.0
2019-02-08,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,-2.0,-15.0,0.11,14.714285714285714,18.066666666666666,21.0
2019-02-09,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,10.0,-18.0,0.0,15.142857142857142,18.066666666666666,19.0
2019-02-10,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,21.0,6.0,0.0,14.857142857142858,17.666666666666668,10.0
2019-02-11,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,25.0,17.0,0.19,14.642857142857142,17.266666666666666,9.0
2019-02-12,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,23.0,4.0,0.3,15.5,17.0,17.0
2019-02-13,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,20.0,0.0,0.04,15.214285714285714,16.9,12.0
2019-02-14,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,22.0,-2.0,0.0,14.928571428571429,17.033333333333335,15.0
2019-02-15,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,5.0,-8.0,0.03,14.5,16.7,15.0
2019-02-16,23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,21.0,-6.0,0.0,14.714285714285714,16.833333333333332,26.0
2019-02-17,17,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,24.0,14.0,0.0,14.5,15.9,11.0
2019-02-18,13,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,23.0,-4.0,0.12,15.142857142857142,15.6,17.0
2019-02-19,18,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,17.0,-12.0,0.0,15.428571428571429,15.566666666666666,19.0
2019-02-20,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,29.0,12.0,0.17,16.142857142857142,15.933333333333334,25.0
2019-02-21,21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,22.0,4.0,0.22,16.642857142857142,15.9,17.0
2019-02-22,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,32.0,10.0,0.0,16.357142857142858,15.533333333333333,17.0
2019-02-23,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,37.0,39.75745465723947,0.1,16.642857142857142,15.666666666666666,23.0
2019-02-24,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,58.13130381303813,-4.0,0.13,17.142857142857142,15.833333333333334,17.0
2019-02-25,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,5.0,-7.0,0.03,17.428571428571427,15.833333333333334,13.0
2019-02-26,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,9.0,-8.0,0.0,17.5,15.966666666666667,18.0
2019-02-27,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,8.0,-2.0,0.03,18.285714285714285,16.333333333333332,23.0
2019-02-28,21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,26.0,-5.0,0.0,18.714285714285715,16.866666666666667,21.0
2019-03-01,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,25.0,5.0,0.0,18.071428571428573,16.533333333333335,6.0
2019-03-02,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,14.0,-5.0,0.2,17.285714285714285,16.4,15.0
2019-03-03,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,-3.0,-17.0,0.0,17.785714285714285,16.3,18.0
2019-03-04,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,7.0,-13.0,0.0,17.428571428571427,15.933333333333334,12.0
2019-03-05,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,13.0,2.0,0.0,17.071428571428573,15.933333333333334,14.0
2019-03-06,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,19.0,1.0,0.0,16.5,16.233333333333334,17.0
2019-03-07,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,26.0,-2.0,0.0,16.785714285714285,16.433333333333334,21.0
2019-03-08,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,33.0,17.0,0.0,17.214285714285715,16.7,23.0
2019-03-09,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,34.0,31.0,0.0,16.571428571428573,16.833333333333332,14.0
2019-03-10,22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,32.0,18.0,0.81,16.5,16.666666666666668,16.0
2019-03-11,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,35.0,9.0,0.0,16.142857142857142,16.3,8.0
2019-03-12,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,38.0,19.0,0.0,15.714285714285714,16.366666666666667,12.0
2019-03-13,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,42.0,35.0,0.42,14.857142857142858,16.433333333333334,11.0
2019-03-14,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,42.0,31.0,0.66,14.642857142857142,16.466666666666665,18.0
2019-03-15,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,32.0,25.0,0.52,15.214285714285714,16.533333333333335,14.0
2019-03-16,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,35.0,18.0,0.0,14.642857142857142,16.266666666666666,7.0
2019-03-17,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,38.0,23.0,0.0,14.928571428571429,16.5,22.0
2019-03-18,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,39.0,24.0,0.0,14.928571428571429,16.033333333333335,12.0
2019-03-19,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,45.0,30.0,0.0,15.071428571428571,16.2,16.0
2019-03-20,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,45.0,31.0,0.0,15.214285714285714,16.266666666666666,19.0
2019-03-21,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,49.0,29.0,0.0,15.357142857142858,16.4,23.0
2019-03-22,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,48.0,29.0,0.0,14.642857142857142,16.0,13.0
2019-03-23,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,51.0,28.0,0.0,14.357142857142858,15.766666666666667,10.0
2019-03-24,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,51.0,33.0,0.0,14.357142857142858,15.733333333333333,16.0
2019-03-25,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,42.0,29.0,0.0,14.714285714285714,15.4,13.0
2019-03-26,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,48.0,26.0,0.0,14.642857142857142,15.2,11.0
2019-03-27,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,65.0,42.0,0.0,14.928571428571429,15.266666666666667,15.0
2019-03-28,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,50.0,32.0,0.0,14.785714285714286,15.2,16.0
2019-03-29,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,43.0,29.0,0.0,15.071428571428571,15.033333333333333,18.0
2019-03-30,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,36.0,25.0,0.0,16.071428571428573,15.033333333333333,21.0
2019-03-31,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,58.13130381303813,39.75745465723947,0.0,15.428571428571429,15.266666666666667,13.0
2019-04-01,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,40.0,30.0,0.0,15.071428571428571,15.0,7.0
2019-04-02,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,49.0,28.0,0.0,15.0,14.9,15.0
2019-04-03,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,47.0,29.0,0.0,15.071428571428571,15.166666666666666,20.0
2019-04-04,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,45.0,36.0,0.0,14.928571428571429,15.4,21.0
2019-04-05,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,54.0,37.0,0.0,15.071428571428571,15.333333333333334,15.0
2019-04-06,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,57.0,46.0,0.35,15.285714285714286,15.066666666666666,13.0
2019-04-07,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,61.0,47.0,0.01,14.642857142857142,14.533333333333333,7.0
2019-04-08,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,69.0,42.0,0.0,14.714285714285714,14.533333333333333,14.0
2019-04-09,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,58.0,36.0,0.0,14.571428571428571,14.3,9.0
2019-04-10,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,35.0,30.0,0.0,14.428571428571429,14.466666666666667,13.0
2019-04-11,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,35.0,28.0,1.04,14.0,14.4,10.0
2019-04-12,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,36.0,30.0,0.2,13.714285714285714,14.5,14.0
2019-04-13,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,37.0,27.0,0.0,13.0,14.266666666666667,11.0
2019-04-14,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,44.0,26.0,0.0,13.285714285714286,14.366666666666667,17.0
2019-04-15,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,61.0,28.0,0.0,13.714285714285714,14.566666666666666,13.0
2019-04-16,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,66.0,36.0,0.0,14.071428571428571,14.5,20.0
2019-04-17,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,54.0,41.0,1.04,14.071428571428571,14.766666666666667,20.0
2019-04-18,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,52.0,40.0,0.0,13.642857142857142,14.733333333333333,15.0
2019-04-19,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,60.0,35.0,0.0,14.142857142857142,14.833333333333334,22.0
2019-04-20,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,79.0,42.0,0.0,14.285714285714286,14.566666666666666,15.0
2019-04-21,28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,86.0,52.0,0.0,14.928571428571429,14.666666666666666,16.0
2019-04-22,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,52.0,41.0,0.47,16.0,15.3,29.0
2019-04-23,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,64.0,35.0,0.0,16.0,15.066666666666666,9.0
2019-04-24,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,74.0,44.0,0.02,16.0,15.066666666666666,13.0
2019-04-25,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,68.0,48.0,0.25,17.357142857142858,15.666666666666666,29.0
2019-04-26,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,57.0,39.0,0.0,17.5,15.7,16.0
2019-04-27,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,50.0,35.0,0.33,18.071428571428573,15.8,19.0
2019-04-28,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,48.0,32.0,0.0,18.857142857142858,16.133333333333333,28.0
2019-04-29,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,58.0,42.0,0.0,18.571428571428573,15.733333333333333,9.0
2019-04-30,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,48.0,40.0,0.31,17.714285714285715,15.566666666666666,8.0
2019-05-01,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,46.0,39.0,0.07,17.571428571428573,15.933333333333334,18.0
2019-05-02,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,53.0,40.0,0.0,17.285714285714285,15.8,11.0
2019-05-03,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,63.0,36.0,0.02,16.928571428571427,15.7,17.0
2019-05-04,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,69.0,43.0,0.0,16.857142857142858,15.466666666666667,14.0
2019-05-05,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,63.0,47.0,0.0,17.071428571428573,15.6,19.0
2019-05-06,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,58.0,46.0,0.01,15.785714285714286,15.533333333333333,11.0
2019-05-07,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,63.0,38.0,0.0,16.071428571428573,15.733333333333333,13.0
